idx,latency_ms
1089,1.626353
1090,1.631769
1091,1.638131
1092,1.622708
1093,1.636103
1094,1.623285
1095,1.628384
1096,1.618782
1097,1.630542
1098,1.631607
1099,1.622480
1100,1.630364
1101,1.637685
1102,1.629160
1103,1.631742
1104,1.641129
1105,1.636341
1106,1.629601
1107,1.622446
1108,1.616163
1109,1.625608
1110,1.623643
1111,1.637762
1112,1.628529
1113,1.640522
1114,1.623140
1115,1.637925
1116,1.625577
1117,1.641128
1118,1.628343
1119,1.633959
1120,1.638841
1121,1.628508
1122,1.618913
1123,1.625674
1124,1.619636
1125,1.628681
1126,1.620961
1127,1.623650
1128,1.626194
1129,1.621266
1130,1.621774
1131,1.625788
1132,1.633978
1133,1.668241
1134,1.676817
1135,1.670026
1136,1.618231
1137,1.633756
1138,1.632584
1139,1.643816
1140,1.629450
1141,1.629231
1142,1.643087
1143,1.639202
1144,1.629844
1145,1.621182
1146,1.626428
1147,1.613839
1148,1.629281
1149,1.622400
1150,1.623611
1151,1.626180
1152,1.633410
1153,1.630246
1154,1.623880
1155,1.625199
1156,1.632605
1157,1.627482
1158,1.632195
1159,1.630452
1160,1.622073
1161,1.620777
1162,1.625410
1163,1.630650
1164,1.628101
1165,1.625798
1166,1.624623
1167,1.634585
1168,1.630373
1169,1.624323
1170,1.632443
1171,1.622556
1172,1.612284
1173,1.632942
1174,1.620321
1175,1.623374
1176,1.623431
1177,1.626282
1178,1.624999
1179,1.637718
1180,1.625639
1181,1.625528
1182,1.629736
1183,1.656440
1184,1.633438
1185,1.628065
1186,1.631740
1187,1.631472
1188,1.634498
1189,1.643177
1190,1.627228
1191,1.626139
1192,1.653078
1193,1.640599
1194,1.654284
1195,1.635712
1196,1.639300
1197,1.641540
1198,1.643703
1199,1.635578
1200,1.632292
1201,1.638835
1202,1.635562
1203,1.681744
1204,1.684764
1205,1.624904
1206,1.625513
1207,1.639280
1208,1.633688
1209,1.629427
1210,1.634240
1211,1.632910
1212,1.640027
1213,1.636384
1214,1.627984
1215,1.634116
1216,1.624736
1217,1.615676
1218,1.622754
